time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2019-06-03 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-06-03 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,12.36733341217041,10,0.0
2019-06-10 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-06-10 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.016667366027832,10,0.0
2019-06-13 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-06-13 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.025333404541016,10,0.0
2019-06-14 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-06-14 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.083333015441895,10,0.0
2019-06-18 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-06-18 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.248000144958496,10,0.0
2019-06-19 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-06-19 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.007332801818848,10,0.0
2019-06-21 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-06-21 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.414667129516602,10,0.0
2019-07-02 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-07-02 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.259332656860352,10,0.0
2019-07-03 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-07-03 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.959333419799805,10,0.0
2019-07-08 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-07-08 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.416000366210938,10,0.0
2019-07-09 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-07-09 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.264666557312012,10,0.0
2019-07-11 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-07-11 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.87600040435791,10,0.0
2019-07-12 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-07-12 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.983332633972168,10,0.0
2019-07-30 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-07-30 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.526666641235352,10,0.0
2019-08-02 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-08-02 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.423333168029785,10,0.0
2019-08-09 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-08-09 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.736666679382324,10,0.0
2019-08-15 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-08-15 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.723999977111816,10,0.0
2019-08-20 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-08-20 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.174667358398438,10,0.0
2019-08-22 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-08-22 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.853333473205566,10,0.0
2019-08-29 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-08-29 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,14.600000381469727,10,0.0
2019-09-06 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-09-06 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.146666526794434,10,0.0
2019-09-10 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-09-10 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.386667251586914,10,0.0
2019-09-17 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-09-17 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,16.1646671295166,10,0.0
2019-09-19 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-09-19 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,16.399999618530273,10,0.0
2019-09-23 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-09-23 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,16.0,10,0.0
2019-09-26 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-09-26 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,15.37733268737793,10,0.0
2019-10-01 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-10-01 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,16.100000381469727,10,0.0
2019-10-02 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-10-02 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,16.21933364868164,10,0.0
2019-10-15 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-10-15 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.18000030517578,10,0.0
2019-10-21 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-10-21 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,17.222000122070312,10,0.0
2019-10-23 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-10-23 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,16.96666717529297,10,0.0
2019-10-25 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-10-25 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,19.847999572753906,10,0.0
2019-10-30 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-10-30 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,20.866666793823242,10,0.0
2019-11-13 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-11-13 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,23.666667938232422,10,0.0
2019-11-21 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-11-21 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,23.634000778198242,10,0.0
2019-11-26 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-11-26 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,22.351333618164062,10,0.0
2019-12-11 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-12-11 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,23.458667755126953,10,0.0
2019-12-17 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-12-17 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,25.266000747680664,10,0.0
2019-12-24 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-12-24 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,27.890666961669922,10,0.0
2019-12-26 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-12-26 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,28.527332305908203,10,0.0
2019-12-30 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-12-30 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,28.586000442504883,10,0.0
2019-12-31 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2019-12-31 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,27.0,10,0.0
2020-01-08 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,31.579999923706055,10,0.0
2020-01-21 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-21 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,35.349998474121094,10,0.0
2020-02-03 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,44.91266632080078,10,0.0
2020-02-10 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,53.33333206176758,10,0.0
2020-02-26 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,52.16666793823242,10,0.0
2020-03-04 09:30:00-05:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-04 09:30:00-05:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,50.930667877197266,10,0.0
2020-03-10 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,43.96200180053711,10,0.0
2020-03-23 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,28.906667709350586,10,0.0
2020-03-24 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-24 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,31.81999969482422,10,0.0
2020-03-27 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-27 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,33.66666793823242,10,0.0
2020-03-31 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-31 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,33.41666793823242,10,0.0
2020-04-06 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-06 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,34.08000183105469,10,0.0
2020-04-09 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-09 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,37.4726676940918,10,0.0
2020-04-16 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-16 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,47.79600143432617,10,0.0
2020-04-24 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-24 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,47.387332916259766,10,0.0
2020-05-01 09:30:00-04:00,elon_tweet,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-01 09:30:00-04:00,elon_tweet,TSLA,buy,market,fill,1,gtc,0.0,1,stock,50.33333206176758,10,0.0
